sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,2,M2.5 V,3492.73,0.43,0.42,0.301,[Fe/H],-1.687,4.82,5.000,7.64772,,87.80
1,2,M2.5 V,3492.73,0.43,0.42,0.301,[Fe/H],-1.687,4.82,5.000,7.64772,,87.80
1,1,M1,3900.00,0.65,0.69,0.000,[M/H],-0.993,4.61,,3.21063,,
1,4,M2.5,3466.00,0.40,0.42,0.020,[Fe/H],-1.658,4.78,,6.89996,,13.30
1,4,M2.5,3466.00,0.40,0.42,0.020,[Fe/H],-1.658,4.78,,6.89996,,13.30
1,4,M2.5,3466.00,0.40,0.42,0.020,[Fe/H],-1.658,4.78,,6.89996,,13.30
1,4,M2.5,3466.00,0.40,0.42,0.020,[Fe/H],-1.658,4.78,,6.89996,,13.30
1,2,M4,3159.00,0.12,0.16,-0.270,[Fe/H],-2.569,,,,,42.45
1,2,M4,3159.00,0.12,0.16,-0.270,[Fe/H],-2.569,,,,,42.45
1,1,M2.5,3526.00,0.44,0.47,-0.090,[Fe/H],-1.538,4.77,,6.49365,,47.80
2,1,M0.0 V,4005.00,0.58,0.64,-0.030,[Fe/H],-1.101,4.68,4.000,4.04454,2.3000,11.80
1,1,M1.5,3600.00,0.55,0.54,0.200,[Fe/H],-1.538,4.70,1.650,3.30000,,26.52
2,2,M4,3347.00,0.36,0.36,0.110,[Fe/H],-1.824,4.81,,10.93000,2.0000,-1.10
2,2,M4,3347.00,0.36,0.36,0.110,[Fe/H],-1.824,4.81,,10.93000,2.0000,-1.10
1,1,M5.5 V,3081.00,0.14,0.12,-0.070,[Fe/H],-2.804,5.16,5.500,47.47816,,
1,3,M2.5 V,3505.00,0.34,0.34,-0.120,[Fe/H],-1.798,4.94,,13.60000,2.0000,-34.60
1,3,M2.5 V,3505.00,0.34,0.34,-0.120,[Fe/H],-1.798,4.94,,13.60000,2.0000,-34.60
1,3,M2.5 V,3505.00,0.34,0.34,-0.120,[Fe/H],-1.798,4.94,,13.60000,2.0000,-34.60
1,1,M2.5,3517.00,0.43,0.45,,,-1.699,4.78,5.000,6.74048,1.0000,5.19
1,1,M4.0 V,3324.00,0.28,0.27,0.000,[Fe/H],-2.062,5.05,,16.23344,2.0000,-19.36
1,1,M2.0 V,3579.00,0.43,0.43,-0.090,[Fe/H],-1.571,4.88,,7.43568,2.0000,8.30
1,1,M0,3867.00,0.61,0.63,-0.040,[Fe/H],-1.120,4.65,,4.16712,1.6700,-19.37
1,2,M1,3722.00,0.49,0.50,-0.160,[Fe/H],-1.387,4.77,,5.18823,0.9300,-44.81
1,2,M1,3722.00,0.49,0.50,-0.160,[Fe/H],-1.387,4.77,,5.18823,0.9300,-44.81
1,2,M1.5 V,3601.00,0.39,0.39,-0.090,[Fe/H],-1.710,4.87,,9.60131,2.0000,-85.02
2,2,K7 V,4120.00,0.68,0.65,0.240,[Fe/H],-0.924,4.65,12.400,2.15240,3.0000,-17.20
2,2,K7 V,4120.00,0.68,0.65,0.240,[Fe/H],-0.924,4.65,12.400,2.15240,3.0000,-17.20
1,1,M3.5 V,3323.00,0.37,0.35,,,-1.959,4.85,,9.92794,,
1,1,M4.0,3387.00,0.41,0.41,0.120,[Fe/H],-1.706,4.97,6.900,8.27661,2.0000,
1,3,M1.5 V,3461.00,0.50,0.48,-0.170,[Fe/H],-1.699,4.81,,6.36665,,17.53
1,3,M1.5 V,3472.00,0.47,0.48,-0.170,[Fe/H],-1.699,4.76,,6.36665,,17.53
1,3,M2V,3461.00,0.47,0.48,-0.170,[Fe/H],-1.475,4.76,,6.36665,,17.53
1,1,M2.5 V,3586.11,0.46,0.47,0.099,[Fe/H],-1.585,4.79,6.000,7.00000,0.3300,9.60
1,1,M3.5 Ve,3381.00,0.46,0.45,,,-1.612,4.78,,6.73991,,
1,1,M3.5 V,3340.00,0.33,0.32,0.070,[Fe/H],-1.917,4.89,,12.10824,,19.10
1,1,G0 V,6234.00,1.26,1.22,0.280,[Fe/H],0.332,4.60,0.160,0.63882,5.4700,-27.40
1,1,M1 V,3685.00,0.50,0.52,-0.080,[Fe/H],-1.377,4.75,0.400,5.44450,1.2000,-25.62
1,3,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,-9.21
1,3,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,-9.21
1,3,M3 V,3396.00,0.33,0.31,-0.088,[Fe/H],-1.885,4.89,4.300,12.22384,2.1000,-9.21
1,1,M2,3499.00,0.31,0.30,-0.380,[Fe/H],-1.894,4.94,,11.72633,0.2000,-12.85
1,1,M1.5,3700.00,0.50,0.54,0.080,[Fe/H],-1.365,4.76,0.440,5.25992,,3.57
3,5,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,6.50
3,5,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,6.50
