sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
1,1,4978.00,5.20,1.70,-0.130,1.176,3.16,,,
1,3,5585.57,1.03,0.91,0.028,,4.37,,,
1,3,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,,
1,3,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,,
1,3,5585.57,1.03,0.91,0.028,,4.37,,,
1,3,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,,
1,2,4792.00,2.30,1.52,0.210,1.053,3.25,,,
1,2,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,,
1,2,4794.52,4.91,,0.088,,,,,
1,2,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,,
1,1,5545.00,,1.11,-0.012,,4.07,8.000,,
1,1,,,,,,,,,4.95
1,1,5439.00,1.94,1.09,-0.090,0.451,3.90,7.770,,
1,1,5481.86,1.92,1.06,-0.040,,3.89,,,
1,1,5531.00,1.84,1.14,-0.060,,3.97,,,
1,1,5495.00,1.89,1.09,,,3.95,,,
2,1,4846.00,10.50,2.49,0.000,1.730,2.63,,,
1,1,4847.00,10.30,1.44,-0.030,,2.57,,,
1,1,4847.40,9.90,1.80,-0.030,,2.57,1.700,,
1,1,,,1.60,,,,,,
1,1,4785.00,11.00,2.40,-0.060,1.778,2.35,,,
3,1,4665.00,11.00,1.40,-0.030,,2.52,3.560,,-25.75
1,1,9770.00,,2.40,,1.771,,0.003,,
1,1,,,,,,,0.030,,
1,2,3700.00,0.75,0.50,,-1.046,4.39,0.022,,
1,2,3588.00,0.70,,,,4.60,,,
1,2,3700.00,0.75,0.50,,,,0.022,,
1,2,3700.00,0.75,0.50,,-1.046,4.39,0.022,,
1,2,,,0.50,,,,,,
1,2,3700.00,0.75,0.50,,-1.046,,0.022,,
1,2,,0.75,,,,,,1.6700,
1,2,3700.00,0.75,0.50,,-1.046,4.39,0.022,,
1,2,,0.75,,,,,,1.6700,
1,2,,,0.50,,,,,,
1,2,3700.00,0.75,0.50,,,,0.022,,
1,1,4095.00,32.35,1.14,-0.710,2.700,1.89,5.200,,50.88
1,1,4864.00,0.86,0.49,0.170,,4.26,,,
1,1,5008.00,0.95,0.86,0.100,-0.320,4.60,,,
1,1,4649.00,8.95,1.08,-0.220,1.570,2.61,7.410,,-9.65
