pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-1406 b,Kepler-1406,1,1,0,11.62905828,0.0987,1.1,0.098,1.37,0.0043,M-R relationship,0,125.89,854,0,,5892,1.12,1.05,0.04,[Fe/H],0.135,4.36,5.01,3.52381,,,,13.3819
Kepler-1407 b,Kepler-1407,1,1,0,20.0711504,0.1502,2.25,0.201,5.69,0.0179,M-R relationship,0,78.67,826,0,,6010,1.15,1.1,0.05,[Fe/H],0.271,4.36,3.24,0.32782,,,,14.8925
Kepler-1408 b,Kepler-1408,1,1,0,2.99793191,0.0425,0.89,0.079,0.64,0.00201,M-R relationship,0,1982.27,1616,0,,6170,1.35,1.21,0,[Fe/H],0.579,4.25,2.57,0.28,,,-29.04,11.9622
Kepler-1409 b,Kepler-1409,1,1,0,0.76486493,0.0152,1.04,0.093,1.12,0.00352,M-R relationship,0,1552.13,1733,0,,5160,0.79,0.83,-0.03,[Fe/H],-0.422,4.57,4.79,3.436,,,,15.172
Kepler-141 b,Kepler-141,1,2,0,3.107675,0.039,0.69,0.062,0.257,0.00081,M-R relationship,0,228.66,968,0,,4910,0.79,1,0.264,[M/H],-0.446,4.57,12.39,1.81992,,,-20.11,13.4205
Kepler-141 c,Kepler-141,1,2,0,7.010606,0.067,1.41,0.126,2.57,0.00809,M-R relationship,0,77.41,738,0,,4910,0.79,1,0.264,[M/H],-0.446,4.57,12.39,1.81992,,,-20.11,13.4205
Kepler-1410 b,Kepler-1410,1,1,0,60.866168,0.2543,1.78,0.159,3.82,0.012,M-R relationship,0,1.06,290,0,,4092,0.6,0.63,0.01,[Fe/H],-1.158,4.67,4.07,3.25,,14.09,,15.9484
Kepler-1411 b,Kepler-1411,1,1,0,86.1150888,0.4001,2.82,0.252,8.35,0.0263,M-R relationship,0,8.93,441,0,,5664,0.92,0.95,-0.04,[Fe/H],0.041,4.49,4.17,3.34613,,,,15.7709
Kepler-1412 b,Kepler-1412,1,1,0,3.6146051,0.0461,0.83,0.074,0.498,0.00157,M-R relationship,0,1087.78,1397,0,,5880,1.27,1.06,0.04,[Fe/H],0.383,4.25,6.31,0.3926,,,,13.1928
Kepler-1413 b,Kepler-1413,1,1,0,13.1829642,0.1066,1.82,0.162,3.97,0.0125,M-R relationship,0,42.83,661,0,,5196,0.8,0.84,-0.05,[Fe/H],-0.391,4.57,4.68,2.23278,,,,16.2846
