default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
1,1,1,8.46321000,4.203,0.375,,3700.00,0.75,0.50,,,-1.046,,0.022,,8.7000,4.86,
1,1,1,481.90000000,,,,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,5.200,,2.7000,,50.88
0,1,1,268.94000000,,,,5008.00,0.95,0.86,0.100,[Fe/H],-0.320,4.60,,,2.5000,,
1,1,1,268.94000000,,,,4864.00,0.86,0.49,0.170,[Fe/H],,4.26,,,,,
1,1,1,153.22000000,,,,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,7.410,,2.5000,,-9.65
1,1,1,137.48000000,,,,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,7.100,,2.3000,,
0,1,2,379.63000000,,,,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,,2.5000,,
1,1,2,379.63000000,,,,4259.00,71.02,10.83,-0.790,[Fe/H],,1.77,,,,,
1,1,2,621.99000000,,,,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,,2.5000,,
1,1,1,578.20000000,,,,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,,,2.0000,,
0,1,1,41.68550000,2.230,0.199,16.30000,5766.00,0.93,0.96,-0.150,[Fe/H],-0.056,4.50,3.340,1.7000,3.3000,,-20.34
0,1,1,41.68864400,2.355,0.210,,5703.00,0.96,0.96,-0.060,[Fe/H],,4.38,,,,,
0,1,1,41.68864400,2.355,0.210,,5703.00,0.96,,-0.060,[Fe/H],,4.38,,,,,
1,1,1,41.68550000,2.578,0.230,22.24810,5766.00,1.08,1.67,-0.150,[Fe/H],,4.50,,1.8900,,,
1,1,1,307.88000000,,,,5004.00,,0.81,-0.090,[Fe/H],,4.22,,,2.0000,,-6.82
1,1,1,392.60000000,,,,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,,,1.0000,,
1,1,1,733.00000000,,,,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,,,0.7000,746.00,-45.93
1,1,1,2590.00000000,,,,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,2.340,,1.7000,,
1,1,1,265.59000000,,,,5012.00,,0.91,0.180,[Fe/H],,4.09,,,2.0000,,-25.65
1,1,1,1198.48000000,,,,5000.00,,0.82,-0.090,[Fe/H],,4.20,,,2.1000,,-15.33
1,1,1,723.20000000,,,,5040.00,,0.81,-0.140,[Fe/H],,4.25,,,3.0000,,23.58
1,1,2,3.87280000,,,,4324.00,,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,,0.5700,,23.62
1,1,2,125.94000000,,,,4324.00,,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,,0.5700,,23.62
1,1,2,5.60000000,,,,4816.00,0.71,0.50,-0.060,[Fe/H],,4.43,,,,,
0,1,2,5.60000000,,,,4746.00,,0.74,-0.070,[Fe/H],,4.13,4.500,,1.4000,,53.34
1,1,2,237.60000000,,,,4746.00,,0.74,-0.070,[Fe/H],,4.13,4.500,,1.4000,,53.34
0,1,1,3.48790500,,,,5382.64,0.97,1.00,0.370,[Fe/H],,4.46,,,,,
0,1,1,3.48700000,,,,5400.00,,1.10,0.500,[Fe/H],,4.40,,,,,26.40
1,1,1,3.48777000,,,,5393.00,0.91,1.47,0.380,[Fe/H],,4.69,,,,,
0,1,1,3.48777000,,,,5393.00,,1.01,0.382,[Fe/H],,4.68,,,0.9200,,
1,1,2,1634.00000000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.5300,1.0000,25.00,
0,1,2,1667.00000000,,,,4475.00,0.52,0.57,-0.480,[Fe/H],,4.10,4.400,,2.0000,,-87.30
1,1,2,74.20000000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.5300,1.0000,25.00,
0,1,1,714.30000000,,,,,,2.40,,,,,0.740,,,,18.31
